symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GME,2016-07-06 00:00:00+00:00,26.47,26.48,25.73,26.23,2490315,20.9327321004,20.9406401971,20.3475329408,20.7429377784,2490315,0.0,1.0
GME,2016-07-07 00:00:00+00:00,26.33,27.03,26.19,26.52,2270674,20.8220187459,21.3755855185,20.7113053914,20.9722725841,2270674,0.0,1.0
GME,2016-07-08 00:00:00+00:00,27.37,27.39,26.66,26.67,2104106,21.644460808,21.6602770015,21.0829859387,21.0908940354,2104106,0.0,1.0
GME,2016-07-11 00:00:00+00:00,28.45,28.79,28.05,28.11,3566676,22.4985352571,22.7674105467,22.1822113871,22.2296599676,3566676,0.0,1.0
GME,2016-07-12 00:00:00+00:00,28.74,28.97,28.5,28.72,3024948,22.7278700629,22.9097562882,22.5380757409,22.7120538694,3024948,0.0,1.0
GME,2016-07-13 00:00:00+00:00,28.85,29.2,28.68,28.84,2952831,22.8148591272,23.0916425135,22.6804214824,22.8069510304,2952831,0.0,1.0
GME,2016-07-14 00:00:00+00:00,28.62,29.1,28.46,28.95,1997082,22.6329729019,23.0125615459,22.5064433539,22.8939400947,1997082,0.0,1.0
GME,2016-07-15 00:00:00+00:00,27.99,28.8,27.98,28.8,2468515,22.1347628066,22.7753186434,22.1268547098,22.7753186434,2468515,0.0,1.0
GME,2016-07-18 00:00:00+00:00,30.19,30.4,27.87,28.0,7775320,23.8745440918,24.0406141236,22.0398656455,22.1426709033,7775320,0.0,1.0
GME,2016-07-19 00:00:00+00:00,30.19,31.299,30.01,30.87,4359630,23.8745440918,24.7515520215,23.7321983503,24.4122946709,4359630,0.0,1.0
GME,2016-07-20 00:00:00+00:00,31.12,31.32,30.04,30.11,3771067,24.6099970897,24.7681590247,23.7559226406,23.8112793178,3771067,0.0,1.0
GME,2016-07-21 00:00:00+00:00,31.01,31.85,30.95,31.15,4560108,24.5230080254,25.1872881525,24.4755594449,24.6337213799,4560108,0.0,1.0
GME,2016-07-22 00:00:00+00:00,30.81,31.19,30.65,31.0,2590514,24.3648460904,24.6653537669,24.2383165424,24.5150999287,2590514,0.0,1.0
GME,2016-07-25 00:00:00+00:00,30.88,30.96,30.05,30.52,2252165,24.4202027677,24.4834675417,23.7638307373,24.1355112846,2252165,0.0,1.0
GME,2016-07-26 00:00:00+00:00,31.25,31.3,30.44,30.82,2520714,24.7128023474,24.7523428312,24.0722465106,24.3727541871,2520714,0.0,1.0
GME,2016-07-27 00:00:00+00:00,31.32,31.575,31.101,31.42,2181767,24.7681590247,24.9698154919,24.5949717059,24.8472399922,2181767,0.0,1.0
GME,2016-07-28 00:00:00+00:00,31.17,31.33,30.79,31.2,1422248,24.6495375734,24.7760671215,24.3490298969,24.6732618637,1422248,0.0,1.0
GME,2016-07-29 00:00:00+00:00,30.95,31.25,30.56,31.25,1597303,24.4755594449,24.7128023474,24.1671436716,24.7128023474,1597303,0.0,1.0
GME,2016-08-01 00:00:00+00:00,30.35,30.99,30.18,30.97,2887606,24.0010736398,24.5071918319,23.8666359951,24.4913756384,2887606,0.0,1.0
GME,2016-08-02 00:00:00+00:00,29.24,30.62,29.215,30.56,3420780,23.1232749005,24.2145922521,23.1035046586,24.1671436716,3420780,0.0,1.0
GME,2016-08-03 00:00:00+00:00,29.64,29.83,28.57,29.04,2360128,23.4395987705,23.5898526088,22.5934324181,22.9651129654,2360128,0.0,1.0
GME,2016-08-04 00:00:00+00:00,29.66,30.0,29.43,29.54,1206580,23.455414964,23.7242902536,23.2735287387,23.360517803,1206580,0.0,1.0
GME,2016-08-05 00:00:00+00:00,30.04,30.59,29.811,29.89,2612290,23.7559226406,24.1908679619,23.574827225,23.6373011893,2612290,0.0,1.0
GME,2016-08-08 00:00:00+00:00,29.79,30.39,29.6417,30.14,2044151,23.5582202218,24.0327060268,23.440943147,23.8350036081,2044151,0.0,1.0
GME,2016-08-09 00:00:00+00:00,29.63,30.22,29.5,29.76,2247634,23.4316906738,23.8982683821,23.328885416,23.5344959315,2247634,0.0,1.0
GME,2016-08-10 00:00:00+00:00,30.15,30.23,29.6,29.6,1750779,23.8429117048,23.9061764788,23.4079663835,23.4079663835,1750779,0.0,1.0
GME,2016-08-11 00:00:00+00:00,31.11,31.17,30.43,30.53,2477815,24.6020889929,24.6495375734,24.0643384139,24.1434193814,2477815,0.0,1.0
GME,2016-08-12 00:00:00+00:00,31.35,31.73,30.82,31.0,2146146,24.791883315,25.0923909915,24.3727541871,24.5150999287,2146146,0.0,1.0
GME,2016-08-15 00:00:00+00:00,31.73,32.08,31.31,31.31,1430596,25.0923909915,25.3691743778,24.760250928,24.760250928,1430596,0.0,1.0
GME,2016-08-16 00:00:00+00:00,31.17,31.95,31.16,31.66,1586892,24.6495375734,25.26636912,24.6416294767,25.0370343142,1586892,0.0,1.0
GME,2016-08-17 00:00:00+00:00,30.82,30.94,30.5,30.87,1762462,24.3727541871,24.4676513482,24.1196950911,24.4122946709,1762462,0.0,1.0
